2026-01-15 22:25:53 | usuario=cocinero | rol=COCINERO
2026-01-15 22:25:54 | usuario=cocinero | rol=COCINERO
2026-01-16 11:40:36 | usuario=cocinero | rol=COCINERO
2026-01-16 11:40:37 | usuario=cocinero | rol=COCINERO
2026-01-16 12:54:11 | usuario=admin | rol=GERENTE
2026-01-16 12:54:13 | usuario=admin | rol=GERENTE
2026-01-16 13:01:53 | usuario=admin | rol=GERENTE
2026-01-16 13:01:55 | usuario=admin | rol=GERENTE
2026-01-17 23:12:42 | usuario=admin | rol=GERENTE
2026-01-17 23:12:44 | usuario=admin | rol=GERENTE
2026-01-17 23:13:23 | usuario=admin | rol=GERENTE
2026-01-17 23:13:24 | usuario=admin | rol=GERENTE
2026-01-17 23:19:59 | usuario=admin | rol=GERENTE
2026-01-17 23:20:00 | usuario=admin | rol=GERENTE
2026-01-17 23:42:32 | usuario=admin | rol=GERENTE
2026-01-17 23:42:33 | usuario=admin | rol=GERENTE
2026-01-17 23:49:00 | usuario=admin | rol=GERENTE
2026-01-17 23:49:01 | usuario=admin | rol=GERENTE
2026-01-17 23:53:55 | usuario=admin | rol=GERENTE
2026-01-17 23:53:56 | usuario=admin | rol=GERENTE
2026-01-17 23:56:55 | usuario=admin | rol=GERENTE
2026-01-17 23:56:56 | usuario=admin | rol=GERENTE
2026-01-18 00:02:50 | usuario=admin | rol=GERENTE
2026-01-18 00:02:51 | usuario=admin | rol=GERENTE
2026-01-18 00:04:28 | usuario=admin | rol=GERENTE
2026-01-18 00:04:29 | usuario=admin | rol=GERENTE
2026-01-18 00:43:10 | usuario=admin | rol=GERENTE
2026-01-18 00:43:12 | usuario=admin | rol=GERENTE
2026-01-18 00:57:18 | usuario=admin | rol=GERENTE
2026-01-18 00:57:19 | usuario=admin | rol=GERENTE
2026-01-18 15:31:39 | usuario=admin | rol=GERENTE
2026-01-18 15:31:45 | usuario=admin | rol=GERENTE
2026-01-18 16:42:54 | usuario=admin | rol=GERENTE
